chr1	65419	71585	+	OR4F5	69091	0
chr1	450703	451697	-	OR4F29	0	451678
chr1	685679	686673	-	OR4F16	0	686654
chr1	925731	944581	+	SAMD11	925942	0
chr1	944203	959256	-	NOC2L	0	959240
chr1	960584	965719	+	KLHL17	962707	0
chr1	966497	975865	+	PLEKHN1	966532	0
chr1	975204	982093	-	PERM1	0	981029
chr1	998962	1000172	-	HES4	0	999973
chr1	1001138	1014540	+	ISG15	1014005	0
chr1	1020120	1056118	+	AGRN	1022414	0
chr1	1070967	1074306	-	RNF223	0	1072566
chr1	1081818	1116098	-	C1orf159	0	1091543
chr1	1173903	1197935	+	TTLL10	1180054	0
chr1	1203508	1206592	-	TNFRSF18	0	1205463
chr1	1211340	1214153	-	TNFRSF4	0	1214127
chr1	1216908	1232067	-	SDF4	0	1228772
chr1	1232237	1235041	+	B3GALT6	1232279	0
chr1	1242446	1246722	-	C1QTNF12	0	1246690
chr1	1253909	1273885	-	UBE2J2	0	1263361
chr1	1280436	1292029	+	SCNN1D	1284025	0
chr1	1292390	1307930	-	ACAP3	0	1303260
chr1	1308597	1311677	+	PUSL1	1308644	0
chr1	1311585	1324691	-	INTS11	0	1313914
chr1	1324802	1328896	+	CPTP	1326911	0
chr1	1331280	1335314	+	TAS1R3	1331346	0
chr1	1335276	1349418	-	DVL1	0	1349065
chr1	1352689	1361777	-	MXRA8	0	1358504
chr1	1373730	1375495	-	AURKAIP1	0	1374756
chr1	1385711	1399335	-	CCNL2	0	1390858
chr1	1401909	1407293	-	MRPL20	0	1407217
chr1	1418420	1421769	-	ANKRD65	0	1421005
chr1	1426128	1427787	+	TMEM88B	1426128	0
chr1	1435523	1442882	+	VWA1	1435749	0
chr1	1449689	1470158	+	ATAD3C	1450684	0
chr1	1471769	1497848	+	ATAD3B	1471885	0
chr1	1512151	1534687	+	ATAD3A	1516044	0
chr1	1534778	1540624	-	TMEM240	0	1540346
chr1	1541673	1574863	-	SSU72	0	1574557
chr1	1598012	1600135	-	FNDC10	0	1600015
chr1	1615415	1630610	+	MIB2	1623453	0
chr1	1632095	1635263	+	MMP23B	1632219	0
chr1	1635227	1659012	-	CDK11B	0	1657264
chr1	1659529	1692728	-	SLC35E2B	0	1676699
chr1	1702379	1724357	-	CDK11A	0	1722596
chr1	1724838	1745999	-	SLC35E2A	0	1739557
chr1	1751232	1780069	-	NADK	0	1765406
chr1	1785285	1891117	-	GNB1	0	1804548
chr1	1915108	1917296	+	CALML6	1915281	0
chr1	1917590	1919279	-	TMEM52	0	1918556
chr1	1921951	2003837	-	CFAP74	0	1990956
chr1	2019345	2030758	+	GABRD	2019424	0
chr1	2073462	2185395	+	PRKCZ	2144339	0
chr1	2184461	2194775	-	FAAP20	0	2194749
